scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count,density
16,4,A*,1,55.48528137423857,110.03980000168667,282,1.0468921014007277,0,3,109.47689999738941,115.43290000190609,60,40,16,16
16,4,RRT*,1,59.801597762862464,632.5294000016584,561,1.1283320332615558,0,3,443.1789000009303,645.52150000236,60,40,16,16
20,4,Brute Force,1,53.6612437050529,185.75119999877643,12721,1.0124762963217528,0,3,180.22619999828748,294.62770000100136,60,40,20,20
20,4,UCS,1,55.48528137423857,1071.7992999998387,1848,1.0468921014007277,0,3,948.3063999978185,1128.5274000001664,60,40,20,20
20,4,GBFS,1,55.48528137423857,21.485600002051797,56,1.0468921014007277,0,3,17.684800001006806,23.078000001987675,60,40,20,20
20,4,A*,1,55.48528137423857,94.24029999718186,282,1.0468921014007277,0,3,91.77389999968,110.09460000059335,60,40,20,20
20,4,RRT*,1,59.959892728147594,635.5683000001591,544,1.1313187307197659,0,3,571.1983000001055,701.3011999988521,60,40,20,20
24,4,Brute Force,1,53.6612437050529,99.4529000017792,12721,1.0124762963217528,0,3,97.3872000031406,107.86430000007385,60,40,24,24
24,4,UCS,1,55.48528137423857,561.2957999983337,1788,1.0468921014007277,0,3,529.8375999991549,728.5510000001523,60,40,24,24
24,4,GBFS,1,55.48528137423857,24.094000000332016,56,1.0468921014007277,0,3,22.99979999952484,27.31820000190055,60,40,24,24
24,4,A*,1,55.48528137423857,92.88309999828925,279,1.0468921014007277,0,3,82.40599999771803,110.72930000227643,60,40,24,24
24,4,RRT*,1,57.75237974029443,479.18810000192025,519,1.0896675422697062,0,3,450.45610000306624,488.1363999993482,60,40,24,24
4,5,Brute Force,1,53.07368639681789,87.22459999989951,12721,1.0013903093739225,0,3,86.74210000026505,100.03209999922547,60,40,4,4
4,5,UCS,1,53.82842712474619,221.47489999770187,2069,1.0156307004669092,0,3,170.3769999985525,266.8846000015037,60,40,4,4
4,5,GBFS,1,53.82842712474619,3.59309999839752,54,1.0156307004669092,0,3,3.4813000020221807,4.123399998206878,60,40,4,4
4,5,A*,1,53.82842712474619,8.822200001304736,117,1.0156307004669092,0,3,8.165200000803452,9.089600000152132,60,40,4,4
4,5,RRT*,1,55.119743419613414,183.35669999942183,632,1.0399951588606304,0,3,180.46550000144634,201.93419999850448,60,40,4,4
